	r0	r1	r2	r3	r4	r5	r6	r7	r8	r9	r10	r11	r12	r13	r14	r15	r16	r17	r18	r19	r20	r21	r22	r23
128	0	0	2	3	2	0	2	15	2	2	0	4	0	2	2	16	16	17	-	-	-	-	-	-
129	16	8	0	4	2	3	2	0	2	0	4	3	0	2	2	6	20	0	-	-	-	-	-	-
130	0	8	0	4	2	3	2	0	2	0	4	3	0	2	2	6	20	0	-	-	-	-	-	-
131	0	0	8	4	2	0	2	16	2	0	4	0	0	2	2	0	0	9	-	-	-	-	-	-
132	3	0	0	-	-	-	-	-	-	0	0	0	0	3	3	3	0	0	10	9	8	10	0	0
133	12	0	0	-	-	-	0	0	0	-	-	-	-	-	-	6	0	0	0	10	0	8	0	0
134	6	9	0	-	-	-	11	0	3	-	-	-	2	2	2	19	7	7	-	-	-	-	-	-
135	0	11	0	-	-	-	2	17	2	0	0	12	2	2	2	16	16	17	-	-	-	-	-	-
136	-	-	-	17	2	0	17	18	12	-	-	-	2	2	2	6	0	16	-	-	-	-	-	-
137	3	0	2	-	-	-	-	-	-	0	0	2	7	3	3	-	-	-	0	2	0	9	8	9
138	3	7	13	-	-	-	-	-	-	0	7	0	0	3	3	6	17	0	0	2	0	8	0	0
139	3	0	18	0	0	7	-	-	-	-	-	-	20	5	3	20	0	0	6	0	9	0	0	0
140	3	0	0	-	-	-	-	-	-	0	0	0	2	3	3	-	-	-	0	2	0	0	0	0
141	2	24	0	4	2	6	2	0	2	13	4	3	2	2	2	10	0	0	-	-	-	-	-	-
142	2	8	3	4	2	6	2	0	2	-	-	-	0	2	2	7	6	0	-	-	-	-	-	-
143	5	3	0	18	2	0	2	0	2	2	0	0	2	2	2	9	8	0	-	-	-	-	-	-
144	6	25	7	-	-	-	4	7	0	-	-	-	21	2	2	21	7	7	-	-	-	-	-	-
145	3	0	0	-	-	-	-	-	-	0	11	0	0	3	3	13	0	0	0	2	0	8	0	3
146	6	9	2	0	2	16	18	0	0	-	-	-	0	2	2	0	7	7	-	-	-	-	-	-
147	3	7	0	-	-	-	-	-	-	0	0	0	0	3	3	10	0	0	-	-	-	5	4	5
148	2	8	0	4	2	0	2	2	2	2	4	3	7	2	2	0	0	10	-	-	-	-	-	-
149	-	-	-	0	7	0	-	-	-	0	0	0	2	0	0	0	0	0	0	0	0	9	8	9
150	3	0	18	0	0	18	-	-	-	-	-	-	19	4	0	20	0	0	0	0	0	-	-	-
151	0	19	14	4	2	0	2	0	2	0	4	0	0	2	2	-	-	-	-	-	-	-	-	-
152	-	-	-	19	2	0	2	0	2	0	0	4	2	2	2	-	-	-	-	-	-	-	-	-
153	3	26	0	0	0	0	-	-	-	0	0	13	22	6	5	22	0	0	-	-	-	5	7	0
154	0	0	0	0	2	2	19	19	3	-	-	-	11	2	2	0	0	3	-	-	-	-	-	-
155	0	0	0	20	0	0	0	0	13	6	0	0	-	-	-	0	5	5	-	-	-	-	-	-
156	3	0	18	-	-	-	-	-	-	-	-	-	20	5	3	20	0	0	0	0	0	11	0	0
157	3	0	8	-	-	-	-	-	-	0	0	8	23	3	3	23	0	0	0	2	10	5	0	6
158	2	0	0	6	2	0	9	20	9	-	-	-	2	2	2	15	0	0	-	-	-	-	-	-
159	12	0	0	14	0	0	-	-	-	9	0	0	-	-	-	0	0	10	-	-	-	5	0	0
160	3	0	0	-	-	-	-	-	-	0	0	3	0	3	3	0	0	7	0	2	0	12	0	0
161	3	0	0	21	8	19	-	-	-	0	0	0	-	-	-	7	6	0	6	0	0	0	0	11
162	3	0	0	-	-	-	-	-	-	0	11	0	0	3	3	13	3	0	0	2	0	8	0	0
163	3	0	0	-	-	-	-	-	-	0	0	0	0	3	3	-	-	-	0	11	11	8	0	3
164	3	0	0	0	0	0	-	-	-	0	3	0	-	-	-	6	4	4	0	0	12	-	-	-
165	3	0	0	-	-	-	-	-	-	0	12	0	0	3	3	24	3	0	0	2	0	0	0	0
166	0	0	0	14	0	0	-	-	-	9	0	0	-	-	-	0	0	0	-	-	-	5	0	0
167	2	0	2	20	0	8	19	19	0	0	0	0	24	7	0	-	-	-	-	-	-	-	-	-
168	-	-	-	-	-	-	2	0	2	14	0	14	2	2	2	3	0	8	-	-	-	-	-	-
169	3	0	0	22	9	3	-	-	-	0	0	0	19	4	0	-	-	-	0	0	0	0	0	0
170	3	0	0	0	10	0	-	-	-	15	3	2	2	0	0	0	5	5	0	0	0	13	0	12
171	2	0	0	19	2	0	2	0	2	0	0	4	2	2	2	-	-	-	-	-	-	-	-	-
172	6	0	19	23	2	16	11	0	0	-	-	-	0	2	2	0	7	7	-	-	-	-	-	-
173	3	0	0	-	-	-	-	-	-	-	-	-	0	3	4	6	0	0	11	2	0	5	0	0
174	2	0	0	14	0	0	-	-	-	0	0	0	-	-	-	0	11	0	-	-	-	5	0	0
175	17	4	4	0	2	2	10	0	3	-	-	-	0	2	2	25	0	3	-	-	-	-	-	-
176	-	-	-	4	2	16	2	0	2	-	-	-	2	2	2	-	-	-	-	-	-	-	-	-
177	-	-	-	3	2	2	5	0	3	-	-	-	2	2	2	0	0	3	-	-	-	-	-	-
178	3	0	0	0	0	0	-	-	-	0	0	2	7	3	3	9	8	0	0	2	0	14	10	13
179	0	0	6	4	2	0	2	4	2	-	-	-	-	-	-	6	3	9	-	-	-	-	-	-
180	-	-	-	6	2	0	2	0	2	0	13	0	2	2	2	6	0	15	-	-	-	-	-	-
181	0	8	0	4	2	3	2	0	2	-	-	-	0	2	2	-	-	-	-	-	-	-	-	-
182	3	0	0	0	0	0	-	-	-	0	0	2	2	3	3	11	0	0	0	2	13	15	0	0
183	0	0	6	4	2	16	2	0	2	0	4	0	2	2	2	0	3	9	-	-	-	-	-	-
184	3	0	0	-	-	-	-	-	-	0	0	2	0	3	3	-	-	-	12	2	6	0	0	0
185	2	0	20	4	2	16	2	0	2	16	14	15	3	2	2	-	-	-	-	-	-	-	-	-
186	3	0	0	0	0	0	-	-	-	0	0	2	2	3	3	9	8	0	13	12	14	8	0	0
187	3	5	0	0	0	7	-	-	-	0	0	7	2	3	4	0	0	0	0	2	13	5	0	8
188	3	0	0	0	0	0	-	-	-	2	3	0	-	-	-	9	8	7	3	4	3	-	-	-
189	6	27	0	0	2	20	11	0	9	-	-	-	25	2	2	6	7	7	-	-	-	-	-	-
190	18	0	0	4	2	0	2	0	2	7	4	0	2	2	2	0	0	9	-	-	-	-	-	-
191	-	-	-	4	2	16	2	21	2	16	14	15	3	2	2	-	-	-	-	-	-	-	-	-
192	0	0	7	3	2	2	0	0	3	-	-	-	0	2	2	6	0	3	-	-	-	-	-	-
193	0	0	21	0	2	2	0	0	3	-	-	-	0	2	2	-	-	-	-	-	-	-	-	-
194	3	0	0	24	11	21	-	-	-	6	0	16	26	0	6	0	0	19	2	3	2	0	11	6
195	0	7	0	0	2	2	-	-	-	-	-	-	2	2	2	5	4	4	-	-	-	-	-	-
196	-	-	-	3	0	0	-	-	-	0	0	0	0	3	4	-	-	-	0	2	0	5	0	0
197	6	0	0	3	2	0	17	18	12	-	-	-	7	2	2	26	7	7	-	-	-	-	-	-
198	3	28	8	-	-	-	-	-	-	-	-	-	0	3	4	0	0	16	0	2	0	5	0	14
199	0	29	0	25	12	0	2	22	2	2	7	0	0	2	2	16	16	17	-	-	-	-	-	-
200	6	5	2	21	8	19	0	0	14	-	-	-	2	2	2	-	-	-	-	-	-	-	-	-
201	6	5	2	21	8	19	9	0	0	-	-	-	9	2	2	3	7	7	-	-	-	-	-	-
202	3	0	0	0	0	0	-	-	-	0	15	0	0	3	4	0	0	0	0	2	0	5	0	15
203	3	0	8	-	-	-	-	-	-	0	0	0	0	3	3	10	0	0	0	2	0	-	-	-
204	3	0	0	-	-	-	-	-	-	0	0	0	2	3	3	-	-	-	0	2	0	3	0	0
205	0	0	0	14	0	0	-	-	-	0	0	0	-	-	-	0	0	0	-	-	-	5	0	16
206	0	0	22	4	2	0	2	2	2	6	4	0	27	2	2	0	0	0	-	-	-	-	-	-
207	3	4	4	26	0	0	-	-	-	0	0	2	14	3	3	27	0	0	0	2	13	15	0	0
208	0	4	4	-	-	-	5	23	0	16	14	15	2	2	2	6	0	20	-	-	-	-	-	-
209	3	0	0	0	0	16	-	-	-	0	0	2	2	3	3	6	0	0	0	2	15	16	0	0
210	9	10	6	4	2	0	2	4	2	-	-	-	-	-	-	6	3	9	-	-	-	-	-	-
211	17	4	4	3	2	2	10	0	3	-	-	-	2	2	2	25	0	3	-	-	-	-	-	-
212	10	0	6	4	2	0	2	4	2	-	-	-	-	-	-	6	3	9	-	-	-	-	-	-
213	3	0	0	3	0	3	-	-	-	0	0	2	11	3	3	0	0	0	0	2	13	15	0	0
214	-	-	-	3	13	0	0	0	0	0	0	0	-	-	-	0	0	0	0	0	0	8	12	17
215	11	8	6	4	2	0	2	4	2	-	-	-	-	-	-	6	3	9	-	-	-	-	-	-
216	0	30	2	3	2	2	5	0	3	-	-	-	2	2	2	0	0	3	-	-	-	-	-	-
217	0	0	10	13	3	11	0	0	9	-	-	-	2	2	2	28	0	21	-	-	-	-	-	-
218	0	0	0	6	2	2	0	24	3	-	-	-	0	2	2	-	-	-	-	-	-	-	-	-
219	3	28	0	0	0	0	-	-	-	0	0	7	0	3	4	-	-	-	0	2	0	5	0	0
220	3	0	0	-	-	-	-	-	-	-	-	-	11	3	3	-	-	-	0	2	0	12	4	5
221	0	31	2	0	2	7	2	0	2	6	16	0	0	2	2	7	6	10	-	-	-	-	-	-
222	12	7	15	27	2	2	3	0	3	-	-	-	2	2	2	5	4	4	-	-	-	-	-	-
223	3	8	0	0	0	22	-	-	-	0	0	0	0	3	4	6	0	7	0	2	0	5	0	0
224	6	0	0	6	2	0	4	7	0	-	-	-	0	2	2	6	7	7	-	-	-	-	-	-
225	0	30	2	0	2	2	0	2	3	-	-	-	2	2	2	6	0	3	-	-	-	-	-	-
226	2	0	0	0	2	22	2	0	2	17	0	4	0	2	2	16	16	17	-	-	-	-	-	-
227	6	4	4	0	2	0	11	25	0	-	-	-	7	2	2	0	7	7	-	-	-	-	-	-
228	6	5	2	21	8	19	20	0	14	-	-	-	2	2	2	-	-	-	-	-	-	-	-	-
229	-	-	-	4	2	7	2	26	2	0	4	3	2	2	2	-	-	-	-	-	-	-	-	-
230	2	0	7	0	2	2	5	2	3	-	-	-	0	2	2	6	0	3	-	-	-	-	-	-
231	-	-	-	0	2	2	3	0	3	-	-	-	2	2	2	5	4	4	-	-	-	-	-	-
232	12	0	0	4	2	0	2	0	2	0	4	8	11	2	2	-	-	-	-	-	-	-	-	-
233	19	7	0	0	2	2	3	0	3	-	-	-	2	2	2	5	4	4	-	-	-	-	-	-
234	2	0	20	4	2	16	2	0	2	-	-	-	3	2	2	-	-	-	-	-	-	-	-	-
235	2	32	20	4	2	16	2	0	2	16	14	15	3	2	2	-	-	-	-	-	-	-	-	-
236	6	0	3	0	2	0	-	-	-	-	-	-	-	-	-	3	7	7	-	-	-	-	-	-
237	12	33	23	0	2	0	2	0	2	18	17	6	0	2	2	0	11	0	-	-	-	-	-	-
238	11	0	24	3	2	2	9	0	3	-	-	-	-	-	-	6	0	3	-	-	-	-	-	-
239	5	3	0	4	2	0	2	0	2	2	4	3	2	2	2	0	5	5	-	-	-	-	-	-
240	6	34	0	0	2	0	4	7	0	-	-	-	2	2	2	6	7	7	-	-	-	-	-	-
241	3	0	0	-	-	-	-	-	-	0	0	0	0	3	3	-	-	-	14	2	0	0	5	0
242	2	0	7	0	2	2	5	0	3	-	-	-	0	2	2	6	0	3	-	-	-	-	-	-
243	3	0	0	0	14	23	-	-	-	0	0	2	0	3	3	29	21	22	0	2	16	8	0	18
244	3	0	25	21	8	19	-	-	-	-	-	-	-	-	-	30	5	5	6	0	0	8	4	5
245	0	7	15	0	2	2	-	-	-	-	-	-	2	2	2	5	4	4	-	-	-	-	-	-
246	2	8	0	4	2	0	-	-	-	19	4	3	2	2	2	6	0	7	-	-	-	-	-	-
247	0	0	19	-	-	-	-	-	-	-	-	-	7	2	2	31	0	3	-	-	-	-	-	-
248	3	0	25	21	8	19	-	-	-	-	-	-	-	-	-	6	5	5	6	0	0	8	4	5
249	3	0	0	-	-	-	-	-	-	0	0	0	0	3	3	-	-	-	0	2	0	17	13	0
250	3	18	12	0	2	0	21	24	0	-	-	-	2	2	2	0	0	0	-	-	-	-	-	-
251	0	35	0	11	2	0	2	6	2	20	7	0	0	2	2	32	0	7	-	-	-	-	-	-
252	-	-	-	3	2	0	0	0	0	-	-	-	7	2	2	26	7	7	-	-	-	-	-	-
253	2	0	20	4	2	16	2	0	2	0	4	0	3	2	2	-	-	-	-	-	-	-	-	-
254	-	-	-	6	2	0	-	-	-	-	-	-	-	-	-	0	7	7	-	-	-	-	-	-
255	20	8	0	4	2	3	2	0	2	21	18	3	0	2	2	6	0	23	-	-	-	-	-	-
256	0	0	2	0	2	2	0	0	3	-	-	-	2	2	2	4	0	3	-	-	-	-	-	-
257	0	0	2	-	-	-	22	0	3	-	-	-	2	2	2	0	0	3	-	-	-	-	-	-
258	-	-	-	0	0	0	-	-	-	-	-	-	0	0	4	0	0	9	0	0	0	8	14	3
259	6	0	3	0	2	0	-	-	-	-	-	-	-	-	-	0	7	7	-	-	-	-	-	-
260	-	-	-	0	0	0	-	-	-	0	15	0	0	3	4	-	-	-	6	2	0	18	15	15
261	-	-	-	3	2	2	0	0	3	-	-	-	0	2	2	6	0	3	-	-	-	-	-	-
262	3	0	0	-	-	-	-	-	-	0	8	9	2	3	3	0	0	0	0	2	0	0	0	0
263	2	0	20	4	2	16	2	0	2	0	4	2	3	2	2	-	-	-	-	-	-	-	-	-
264	0	0	2	0	2	24	2	22	2	0	0	2	0	2	2	16	16	17	-	-	-	-	-	-
265	0	0	0	28	2	2	11	0	3	-	-	-	28	2	2	0	0	3	-	-	-	-	-	-
266	0	0	0	0	2	2	-	-	-	-	-	-	4	2	2	4	11	3	-	-	-	-	-	-
267	21	36	26	3	2	22	5	0	0	0	19	17	18	2	2	4	0	0	-	-	-	-	-	-
268	3	0	0	3	0	0	-	-	-	0	0	0	2	0	0	0	0	11	2	3	2	0	0	3
269	6	0	0	3	2	0	0	0	0	-	-	-	7	2	2	26	7	7	-	-	-	-	-	-
270	-	-	-	3	2	2	0	0	3	-	-	-	0	2	2	-	-	-	-	-	-	-	-	-
271	2	0	0	-	-	-	23	27	15	-	-	-	-	-	-	16	16	17	-	-	-	-	-	-
